T_Sys (K), T_Sample_Dif_Cool (K), T_Sample_Dif_Warm (K)
158.855215,7.620366,-11.794296
159.125646,7.603340,-11.805088
159.396076,7.586594,-11.808162
159.666507,7.569799,-11.814974
159.936937,7.552493,-11.825446
160.207367,7.539523,-11.829792
160.477798,7.526369,-11.834274
160.748228,7.498083,-11.839090
161.018659,7.475668,-11.844416
161.289089,7.458832,-11.849952
161.559520,7.447723,-11.846750
161.829950,7.434240,-11.858151
162.100380,7.417476,-11.867964
162.370811,7.400775,-11.874363
162.641241,7.384151,-11.872063
162.911672,7.367664,-11.879476
163.182102,7.356069,-11.877770
163.452533,7.341008,-11.886318
163.722963,7.312818,-11.886276
163.993393,7.296287,-11.892314
164.263824,7.285493,-11.895369
164.534254,7.269183,-11.895209
164.804685,7.252645,-11.902637
165.075115,7.236190,-11.900336
165.345546,7.232933,-11.902137
165.615976,7.222600,-11.896972
165.886406,7.206235,-11.892757
166.156837,7.196139,-11.886203
166.427267,7.189442,-11.880336
166.697698,7.186476,-11.876830
166.968128,7.176533,-11.877865
167.238559,7.163609,-11.868716
167.508989,7.147459,-11.870423
167.779419,7.143492,-11.862215
168.049850,7.137563,-11.854730
168.320280,7.127881,-11.847569
168.590711,7.124702,-11.846144
168.861141,7.113695,-11.845310
169.131572,7.092411,-11.839897
169.402002,7.087061,-11.834146
169.672432,7.081906,-11.823657
169.942863,7.072742,-11.817303
170.213293,7.069799,-11.815660
170.483724,7.062823,-11.806954
170.754154,7.047774,-11.799314
171.024585,7.038124,-11.797446
171.295015,7.031787,-11.786622
171.565445,7.030270,-11.785750
171.835876,7.017849,-11.771631
172.106306,7.006876,-11.775954
172.376737,7.005059,-11.766649
172.647167,7.003194,-11.765602
172.917598,6.995343,-11.758358
173.188028,6.975023,-11.745486
173.458458,6.963703,-11.742178
173.728889,6.957230,-11.735173
173.999319,6.956449,-11.724789
174.269750,6.950470,-11.722438
174.540180,6.941453,-11.716708
174.810611,6.928250,-11.708747
175.081041,6.914551,-11.697781
175.351471,6.901340,-11.690795
175.621902,6.893694,-11.688446
175.892332,6.886404,-11.679763
176.162763,6.879897,-11.670875
176.433193,6.879350,-11.662782
176.703624,6.867615,-11.654571
176.974054,6.848760,-11.649791
177.244484,6.842027,-11.641829
177.514915,6.832311,-11.633550
177.785345,6.819598,-11.621616
178.055776,6.812929,-11.608889
178.326206,6.806602,-11.603730
178.596637,6.800269,-11.597176
178.867067,6.782883,-11.587228
179.137497,6.768507,-11.583043
179.407928,6.762609,-11.573390
179.678358,6.756430,-11.561884
179.948789,6.750354,-11.548547
180.219219,6.744696,-11.540256
180.489650,6.738756,-11.530587
180.760080,6.728099,-11.521118
181.030511,6.704190,-11.502293
181.300941,6.691977,-11.490620
181.571371,6.685810,-11.485110
181.841802,6.673860,-11.468982
182.112232,6.665607,-11.462667
182.382663,6.659939,-11.450063
182.653093,6.648472,-11.436315
182.923524,6.640137,-11.428059
183.193954,6.635013,-11.421606
183.464384,6.612242,-11.409919
183.734815,6.593423,-11.399655
184.005245,6.582671,-11.390634
184.275676,6.576994,-11.381745
184.546106,6.570885,-11.374011
184.816537,6.560387,-11.366876
185.086967,6.554380,-11.360429
185.357397,6.548834,-11.354481
185.627828,6.538780,-11.338157
185.898258,6.520753,-11.333090
186.168689,6.498988,-11.321258
186.439119,6.488801,-11.314533
186.709550,6.478755,-11.300748
186.979980,6.468861,-11.289883
187.250410,6.459161,-11.285937
187.520841,6.449585,-11.266318
187.791271,6.440191,-11.263524
188.061702,6.420991,-11.253634
188.332132,6.402005,-11.233717
188.602563,6.392948,-11.235120
188.872993,6.387982,-11.216288
189.143423,6.383843,-11.201863
189.413854,6.369218,-11.198661
189.684284,6.361159,-11.185046
189.954715,6.358728,-11.169420
190.225145,6.349847,-11.164385
190.495576,6.335770,-11.150057
190.766006,6.315697,-11.136147
191.036436,6.305420,-11.123322
191.306867,6.297109,-11.121018
191.577297,6.288958,-11.098751
191.847728,6.280800,-11.087458
192.118158,6.272647,-11.076359
192.388589,6.264525,-11.066350
192.659019,6.256306,-11.050783
192.929449,6.248051,-11.038091
193.199880,6.240097,-11.019575
193.470310,6.229373,-11.010449
193.740741,6.216079,-10.994445
194.011171,6.202494,-10.982182
194.281602,6.191077,-10.974778
194.552032,6.183940,-10.957025
194.822462,6.176900,-10.950938
195.092893,6.169832,-10.927608
195.363323,6.162584,-10.907805
195.633754,6.151776,-10.891614
195.904184,6.140400,-10.866940
196.174615,6.140354,-10.846263
196.445045,6.144416,-10.829524
196.715475,6.149113,-10.806663
196.985906,6.130515,-10.784567
197.256336,6.120827,-10.763885
197.526767,6.121301,-10.738376
197.797197,6.121686,-10.707390
198.067628,6.122104,-10.699643
198.338058,6.122573,-10.674502
198.608488,6.111828,-10.654148
198.878919,6.104230,-10.637272
199.149349,6.105079,-10.619941
199.419780,6.100925,-10.590997
199.690210,6.103018,-10.578909
199.960641,6.126216,-10.542327
200.231071,6.088873,-10.488553
200.501502,6.041528,-10.533280
200.771932,6.049739,-10.495491
201.042362,6.058152,-10.458796
201.312793,6.066733,-10.422976
201.583223,6.075046,-10.388184
201.853654,6.083665,-10.354583
202.124084,6.087539,-10.321680
202.394515,6.040495,-10.371465
202.664945,6.006850,-10.340465
202.935375,6.015600,-10.310659
203.205806,6.024511,-10.281487
203.476236,6.033527,-10.253276
203.746667,6.042684,-10.225959
204.017097,6.052087,-10.200115
204.287528,6.043481,-10.174372
204.557958,5.997117,-10.149767
204.828388,5.977383,-10.125579
205.098819,5.987112,-10.101808
205.369249,5.996888,-10.078473
205.639680,6.006833,-10.056748
205.910110,6.014831,-10.035661
206.180541,5.968653,-10.015080
206.450971,5.933097,-9.995654
206.721401,5.943269,-9.977126
206.991832,5.953554,-9.959120
207.262262,5.963927,-9.942045
207.532693,5.974437,-9.848786
207.803123,5.942684,-9.833352
208.073554,5.896927,-9.818825
208.343984,5.902039,-9.805783
208.614414,5.912767,-9.792774
208.884845,5.923634,-9.780599
209.155275,5.933979,-9.769142
209.425706,5.917089,-9.683042
209.696136,5.868880,-9.673234
209.966567,5.859448,-9.664438
210.236997,5.873668,-9.656405
210.507427,5.884554,-9.573761
210.777858,5.858669,-9.567219
211.048288,5.813644,-9.561486
211.318719,5.814283,-9.482159
211.589149,5.825804,-9.477770
211.859580,5.837499,-9.474244
212.130010,5.849116,-9.397323
212.400440,5.839804,-9.395332
212.670871,5.795094,-9.393910
212.941301,5.779930,-9.320101
213.211732,5.791760,-9.320257
213.482162,5.803425,-9.320533
213.752593,5.783525,-9.250544
214.023023,5.739251,-9.253271
214.293453,5.735205,-9.256719
214.563884,5.747119,-9.107679
214.834314,5.758881,-9.121401
215.104745,5.770987,-9.126943
215.375175,5.767720,-9.061384
215.645606,5.724243,-9.068048
215.916036,5.704759,-9.003908
216.186466,5.717201,-9.011634
216.456897,5.730265,-8.949376
216.727327,5.716488,-8.958410
216.997758,5.672510,-8.897964
217.268188,5.663866,-8.907983
217.538619,5.676702,-8.848378
217.809049,5.689535,-8.789878
218.079479,5.664887,-8.801563
218.349910,5.621247,-8.744128
218.620340,5.624395,-8.687391
218.890771,5.637971,-8.701027
219.161201,5.651135,-8.646047
219.431632,5.616043,-8.592043
219.702062,5.573299,-8.538354
219.972492,5.586519,-8.554460
220.242923,5.600093,-8.502314
220.513353,5.611168,-8.450668
220.783784,5.568065,-8.467602
221.054214,5.536376,-8.417635
221.324645,5.550209,-8.368026
221.595075,5.523026,-8.318398
221.865506,5.479998,-8.269733
222.135936,5.486254,-8.221188
222.406366,5.500013,-8.172123
222.676797,5.514232,-8.192383
222.947227,5.476240,-8.145486
223.217658,5.437065,-8.098868
223.488088,5.451119,-8.052749
223.758519,5.464885,-8.006721
224.028949,5.472420,-7.961182
224.299379,5.429682,-7.915066
224.569810,5.401595,-7.869391
224.840240,5.415611,-7.823379
225.110671,5.385604,-7.776914
225.381101,5.343108,-7.730771
225.651532,5.353044,-7.684206
225.921962,5.367160,-7.569816
226.192392,5.381570,-7.590216
226.462823,5.340653,-7.542406
226.733253,5.305111,-7.426535
227.003684,5.319328,-7.377358
227.274114,5.296917,-7.327652
227.544545,5.254246,-7.276915
227.814975,5.256537,-7.157214
228.085405,5.270625,-7.173448
228.355836,5.285140,-7.050155
228.626266,5.251591,-6.925015
228.896697,5.208660,-6.937496
229.167127,5.222394,-6.808882
229.437558,5.236612,-6.748480
229.707988,5.248941,-6.615942
229.978418,5.206064,-6.553608
230.248849,5.173581,-6.419371
230.519279,5.188240,-6.353704
230.789710,5.162902,-6.284935
231.060140,5.120544,-6.141072
231.330571,5.126568,-5.999946
231.601001,5.140973,-5.969426
231.871431,5.155406,-6.081216
232.141862,5.169604,-6.240604
232.412292,5.160324,-6.349903
232.682723,5.118019,-6.448313
232.953153,5.107928,-6.486781
233.223584,5.117513,-6.565650
233.494014,5.074831,-6.584562
233.764444,5.045657,-6.597076
234.034875,5.059662,-6.604950
234.305305,5.073649,-6.609895
234.575736,5.087748,-6.613066
234.846166,5.102148,-6.557464
235.116597,5.070606,-6.559143
235.387027,5.027646,-6.560916
235.657457,5.038817,-6.506088
235.927888,5.025835,-6.451391
236.198318,4.982892,-6.454393
236.468749,4.975819,-6.457252
236.739179,4.990290,-6.406008
237.009610,5.004346,-6.355900
237.280040,4.980566,-6.362313
237.550470,4.937792,-6.314224
237.820901,4.941164,-6.267186
238.091331,4.955135,-6.276859
238.361762,4.969598,-6.232022
238.632192,4.934524,-6.188099
238.902623,4.891844,-6.145730
239.173053,4.905509,-6.158914
239.443483,4.919054,-6.062936
239.713914,4.929583,-6.022792
239.984344,4.886457,-6.036944
240.254775,4.854871,-5.997579
240.525205,4.868714,-5.957830
240.795636,4.882460,-5.973402
241.066066,4.882253,-5.881543
241.336496,4.839005,-5.843808
241.606927,4.818089,-5.807629
241.877357,4.831324,-5.825414
242.147788,4.792903,-5.736833
242.418218,4.753552,-5.702163
242.688649,4.766690,-5.721378
242.959079,4.779962,-5.687670
243.229510,4.787139,-5.601856
243.499940,4.743786,-5.622921
243.770370,4.715041,-5.591602
244.040801,4.727825,-5.509078
244.311231,4.696423,-5.479390
244.581662,4.652638,-5.502914
244.852092,4.661476,-5.421840
245.122523,4.674071,-5.392723
245.392953,4.686580,-5.415358
245.663383,4.644092,-5.329477
245.933814,4.607199,-5.238199
246.204244,4.619748,-5.189512
246.474675,4.632421,-5.131626
246.745105,4.635652,-5.017502
247.015536,4.591376,-4.906719
247.285966,4.565039,-4.912962
247.556396,4.577200,-4.809377
247.826827,4.541988,-4.763286
248.097257,4.497671,-4.721914
248.367688,4.509312,-4.681292
248.638118,4.521448,-4.587870
248.908549,4.531714,-4.549297
249.178979,4.487015,-4.514735
249.449409,4.452507,-4.481744
249.719840,4.463591,-4.397202
249.990270,4.435354,-4.419230
250.260701,4.390553,-4.338097
250.531131,4.393543,-4.258618
250.801562,4.404601,-4.231368
251.071992,4.415562,-4.208847
251.342422,4.376042,-4.186549
251.612853,4.333373,-4.114046
251.883283,4.344457,-4.094206
252.153714,4.323290,-4.026793
252.424144,4.277634,-3.960407
252.694575,4.272314,-3.995811
252.965005,4.282702,-3.821167
253.235435,4.293039,-3.712756
253.505866,4.260523,-3.630255
253.776296,4.214567,-3.675407
254.046727,4.219174,-3.627615
254.317157,4.204729,-3.573604
254.587588,4.159005,-3.607219
254.858018,4.145414,-3.550043
255.128448,4.154663,-3.497643
255.398879,4.163745,-3.494693
255.669309,4.138148,-3.440869
255.939740,4.091840,-3.403211
256.210170,4.088433,-3.348483
256.480601,4.080622,-3.337404
256.751031,4.033469,-3.297964
257.021461,4.011124,-3.267805
257.291892,4.019205,-3.290622
257.562322,4.027330,-3.263999
257.832753,4.008117,-3.237173
258.103183,3.960548,-3.150238
258.373614,3.948480,-3.138007
258.644044,3.947140,-3.107180
258.914474,3.899193,-3.034076
259.184905,3.868413,-3.048953
259.455335,3.875145,-3.021290
259.725766,3.882015,-2.942907
259.996196,3.869126,-2.970774
260.266627,3.820398,-2.913112
260.537057,3.799351,-2.853150
260.807487,3.803703,-2.859854
261.077918,3.754162,-2.904674
261.348348,3.714430,-2.863027
261.618779,3.719753,-2.819052
261.889209,3.686300,-2.815222
262.159640,3.636201,-2.771950
262.430070,3.632536,-2.729732
262.700501,3.637056,-2.649970
262.970931,3.641643,-2.692483
263.241361,3.596480,-2.616762
263.511792,3.547666,-2.584087
263.782222,3.550205,-2.592498
264.052653,3.553351,-2.525048
264.323083,3.551997,-2.498633
264.593514,3.497421,-2.512841
264.863944,3.456794,-2.452047
265.134374,3.461210,-2.395369
265.404805,3.463725,-2.341015
265.675235,3.450155,-2.363727
265.945666,3.396435,-2.314355
266.216096,3.365905,-2.267904
266.486527,3.366202,-2.295911
266.756957,3.314632,-2.254750
267.027387,3.265767,-2.180342
267.297818,3.265038,-2.214981
267.568248,3.263823,-2.181613
267.838679,3.262159,-2.116208
268.109109,3.259573,-2.055436
268.379540,3.221295,-2.097920
268.649970,3.164947,-2.042321
268.920400,3.151699,-1.989807
269.190831,3.130099,-2.006843
269.461261,3.072637,-1.960758
269.731692,3.037116,-1.917920
270.002122,3.024813,-1.877913
270.272553,3.025802,-1.904902
270.542983,3.023026,-1.840466
270.813413,3.014242,-1.779850
271.083844,2.954679,-1.814879
271.354274,2.905456,-1.760756
271.624705,2.897412,-1.710945
271.895135,2.889031,-1.752593
272.165566,2.880315,-1.706163
272.435996,2.870963,-1.641516
272.706426,2.820897,-1.606003
272.976857,2.758208,-1.631036
273.247287,2.742109,-1.575580
273.517718,2.730031,-1.523832
273.788148,2.717513,-1.557015
274.058579,2.655234,-1.513073
274.329009,2.596046,-1.445934
274.599439,2.581574,-1.487766
274.869870,2.566411,-1.453744
275.140300,2.550655,-1.398019
275.410731,2.533855,-1.346088
275.681161,2.516444,-1.373207
275.951592,2.498451,-1.352558
276.222022,2.479265,-1.286458
276.492452,2.459196,-1.320378
276.762883,2.438484,-1.285109
277.033313,2.416826,-1.230312
277.303744,2.394320,-1.180279
277.574174,2.371036,-1.226115
277.844605,2.346427,-1.183901
278.115035,2.321112,-1.124492
278.385465,2.279733,-1.180326
278.655896,2.203983,-1.129280
278.926326,2.187716,-1.084163
279.196757,2.210101,-1.128213
279.467187,2.180067,-1.071687
279.737618,2.148650,-1.040294
280.008048,2.116393,-0.995663
280.278478,2.083159,-1.015295
280.548909,2.048169,-0.960836
280.819339,2.046697,-0.913146
281.089770,2.061499,-0.946045
281.360200,2.023267,-0.909225
281.630631,1.982648,-0.860947
281.901061,1.969348,-0.801997
282.171491,1.981858,-0.852845
282.441922,1.936860,-0.788882
282.712352,1.890434,-0.733297
282.982783,1.865424,-0.781606
283.253213,1.874956,-0.722657
283.523644,1.823716,-0.671852
283.794074,1.822493,-0.719552
284.064505,1.795692,-0.669204
284.334935,1.748521,-0.613038
284.605365,1.759025,-0.566409
284.875796,1.697896,-0.609143
285.146226,1.672619,-0.563712
285.416657,1.676247,-0.501279
285.687087,1.655075,-0.548097
285.957518,1.585988,-0.502507
286.227948,1.569894,-0.455028
286.498378,1.561106,-0.499878
286.768809,1.548686,-0.433860
287.039239,1.532506,-0.386873
287.309670,1.512499,-0.327360
287.580100,1.470452,-0.376847
287.850531,1.382365,-0.304691
288.120961,1.339728,-0.260437
288.391391,1.304469,-0.295871
288.661822,1.264763,-0.247266
288.932252,1.275039,-0.184889
289.202683,1.251996,-0.127937
289.473113,1.196778,-0.182345
289.743544,1.135771,-0.112523
290.013974,1.068999,-0.051786
290.284404,1.027758,-0.112081
290.554835,0.990043,-0.064589
290.825265,0.947336,-0.046137
291.095696,0.879196,-0.075014
291.366126,0.831407,-0.029574
291.636557,0.792505,0.015250
291.906987,0.677846,0.059117
292.177417,0.623156,-0.005583
292.447848,0.554734,0.041790
292.718278,0.481360,0.088791
292.988709,0.426300,0.025917
293.259139,0.350156,0.058025
293.529570,0.291051,0.093509
293.800000,0.228885,0.031533
